Target,OpR AUC Av,OpR AUC SD,OpF AUC Av,OpF AUC SD,WEGA AUC,OpR Time Av,OpR Time SD,OpF Time Av,OpF Time SD,WEGA Time
pur2,0.37,0,0.26,0.009,0.33,242.8,1.844,4.9,0.153,146.9
pygm,0.58,0,0.62,0.005,0.57,241.4,1.812,5.9,0.162,173.2
pyrd,0.84,0,0.8,0.001,0.85,343,0.97,8.2,0.237,233.1
reni,0.59,0.002,0.56,0.003,0.58,970.5,21.357,39.6,1.241,292.4
rock1,0.55,0,0.52,0.002,0.54,216.7,3.338,4.3,0.167,207.4
rxra,0.61,0,0.49,0.003,0.6,410,10.792,8.5,0.312,258.6
sahh,0.87,0,0.6,0.003,0.86,123.9,0.394,2.1,0.105,131.8
src,0.55,0.002,0.53,0.002,0.6,4995.2,6.656,271.2,7.781,1318.6
tgfr1,0.6,0.001,0.49,0.003,0.59,514.3,9.723,10.5,0.373,350.7
thb,0.79,0,0.75,0.001,0.81,651.8,1.963,12.8,0.428,321.2
thrb,0.45,0,0.43,0.003,0.45,2427.1,114.339,71.5,2.444,1205.4
try1,0.57,0,0.56,0.001,0.57,2483.4,50.893,60.8,2.151,1123.2
tryb1,0.38,0,0.36,0.003,0.39,555,2.471,8.3,0.275,277.8
tysy,0.65,0.002,0.61,0.007,0.66,705.4,0.347,16.4,0.525,266.7
urok,0.4,0,0.4,0.002,0.41,511.1,1.834,13.8,0.466,342.5
vgfr2,0.57,0,0.6,0.003,0.59,1816.6,16.649,42.6,1.154,902.3
wee1,0.65,0.001,0.47,0.018,0.62,695.5,5.638,12.1,0.377,204.3
xiap,0.79,0.004,0.76,0.01,0.78,530,6.233,16.1,0.448,187.4
mean,0.56,0.001,0.53,0.005,0.56,1152.9,10.256,30.1,0.912,516.6
